model,host,size,kind,name,samples,ms
legacy32k,48000,1,delay,inApf4,446.759,9.30748
legacy32k,48000,1,tap,L_DELAY1_T1,286,5.95833
legacy32k,48000,1,tap,L_DELAY1_T2,3197,66.6042
legacy32k,48000,1,tap,L_APF2_T,2056,42.8333
legacy32k,48000,1,tap,L_DELAY2_T,2146,44.7083
legacy32k,48000,1,tap,R_DELAY1_T,2139,44.5625
legacy32k,48000,1,tap,R_APF2_T,201,4.1875
legacy32k,48000,1,tap,R_DELAY2_T,1146,23.875
legacy32k,48000,2,delay,leftApf1,2890.23,60.213
legacy32k,48000,2,delay,leftDelay1,19152,399.001
legacy32k,48000,2,delay,leftApf2,7741.68,161.285
legacy32k,48000,2,delay,leftDelay2,15999.5,333.322
legacy32k,48000,2,delay,rightApf1,3905.25,81.3593
legacy32k,48000,2,delay,rightDelay1,18137,377.855
legacy32k,48000,2,delay,rightApf2,11423.3,237.985
legacy32k,48000,2,delay,rightDelay2,13603.8,283.413
legacy32k,48000,2,delay,inApf1,227.412,4.73774
legacy32k,48000,2,delay,inApf2,172.575,3.59531
legacy32k,48000,2,delay,inApf3,611.27,12.7348
legacy32k,48000,2,delay,inApf4,446.759,9.30748
legacy32k,48000,2,tap,L_DELAY1_T1,286,5.95833
legacy32k,48000,2,tap,L_DELAY1_T2,3197,66.6042
legacy32k,48000,2,tap,L_APF2_T,2056,42.8333
legacy32k,48000,2,tap,L_DELAY2_T,2146,44.7083
legacy32k,48000,2,tap,R_DELAY1_T,2139,44.5625
legacy32k,48000,2,tap,R_APF2_T,201,4.1875
legacy32k,48000,2,tap,R_DELAY2_T,1146,23.875
legacy32k,88200,0,delay,leftApf1,722.556,8.19225
legacy32k,88200,0,delay,leftDelay1,4788.01,54.2858
legacy32k,88200,0,delay,leftApf2,1935.42,21.9435
legacy32k,88200,0,delay,leftDelay2,3999.87,45.35
legacy32k,88200,0,delay,rightApf1,976.311,11.0693
legacy32k,88200,0,delay,rightDelay1,4534.26,51.4088
legacy32k,88200,0,delay,rightApf2,2855.82,32.3789
legacy32k,88200,0,delay,rightDelay2,3400.96,38.5597
