model,host,size,decay,onset_ms,density_0_50,density_0_100,density_100_500,crest,rms_tail,peak,rt20,rt30,rt60,centroid_hz,energy_db
correct,32000,1,0.877465,0,980,810,590,21.3573,0.00565167,0.154088,8.35369,5.79931,5.79931,4343.3,6.71758
correct,32000,1,0.95,0,980,810,622.5,16.8129,0.00719127,0.154088,6.7485,4.57613,4.57613,4343.3,8.55155
correct,32000,2,0.5,0,1000,690,327.5,36.4762,0.00331614,0.148203,8.01262,6.88956,6.88956,5487.2,2.90979
correct,32000,2,0.877465,0,1000,690,327.5,21.7932,0.00555039,0.148203,7.10419,4.81106,4.81106,5487.2,6.46063
correct,32000,2,0.95,0,1000,690,327.5,19.4558,0.00644082,0.148203,5.79628,3.90644,3.90644,5487.2,7.60352
correct,44100,0,0.5,0,1040,940,400,38.7848,0.00233444,0.137445,2.03898,2.06336,2.06336,5572.29,2.18061
correct,44100,0,0.877465,0,1040,940,915,23.1568,0.00457555,0.137445,8.0819,6.58508,6.58508,5811.32,6.35044
correct,44100,0,0.95,0,1040,940,997.5,17.9933,0.0062721,0.137445,8.1817,5.59016,5.59016,5837.2,8.73952
correct,44100,1,0.5,0,940,840,387.5,34.8472,0.00242806,0.136742,4.22741,4.18331,4.18331,6217.52,2.14802
correct,44100,1,0.877465,0,940,840,577.5,21.7384,0.00454696,0.136742,8.33109,5.77755,5.77755,6217.52,6.21358
correct,44100,1,0.95,0,940,840,620,18.4787,0.00579486,0.136742,6.68286,4.5312,4.5312,6217.52,8.06273
correct,44100,2,0.5,0,960,710,310,32.252,0.00259952,0.133783,8.14007,6.87265,6.87265,7032.49,2.15498
correct,44100,2,0.877465,0,960,710,310,22.041,0.00438978,0.133783,6.86129,4.64766,4.64766,7032.49,5.79157
correct,44100,2,0.95,0,960,710,310,20.5126,0.00510546,0.133783,5.62054,3.79002,3.79002,7032.49,6.9577
correct,48000,0,0.5,0,1000,910,410,47.3277,0.00220068,0.133469,2.03025,2.05758,2.05758,5949.03,2.01698
correct,48000,0,0.877465,0,1000,910,907.5,24.0895,0.00432359,0.133469,8.0705,6.57717,6.57717,6226.06,6.21582
correct,48000,0,0.95,0,1000,910,997.5,17.6712,0.00593189,0.133469,8.171,5.57917,5.57917,6256.09,8.61628
correct,48000,1,0.5,0,880,790,370,46.1591,0.0022788,0.133098,4.24887,4.19754,4.19754,6465.49,1.96175
correct,48000,1,0.877465,0,880,790,550,24.4595,0.00430048,0.133098,8.29381,5.75188,5.75188,6465.49,6.08631
correct,48000,1,0.95,0,880,790,582.5,19.1534,0.00549185,0.133098,6.64087,4.50154,4.50154,6465.49,7.95526
correct,48000,2,0.5,0,880,670,300,41.3724,0.00245091,0.130516,8.1345,6.92521,6.92521,8200.15,2.01694
correct,48000,2,0.877465,0,880,670,300,24.858,0.00407916,0.130516,6.93819,4.70117,4.70117,8200.15,5.54067
correct,48000,2,0.95,0,880,670,300,21.4145,0.00473511,0.130516,5.68669,3.83467,3.83467,8200.15,6.68744
correct,88200,0,0.5,0,1220,1110,455,68.2588,0.00154126,0.105205,2.02932,2.05481,2.05481,10497.3,1.60718
correct,88200,0,0.877465,0,1220,1110,967.5,36.1531,0.00290998,0.105205,7.97405,6.60388,6.60388,10424.6,5.49436
correct,88200,0,0.95,0,1220,1110,1065,26.6573,0.00394657,0.105205,8.29384,5.67925,5.67925,10405.5,7.77307
correct,88200,1,0.5,0,1140,1030,470,66.0156,0.00163151,0.107705,4.21711,4.18161,4.18161,13129,1.66838
correct,88200,1,0.877465,0,1140,1030,697.5,36.7042,0.0029344,0.107705,8.45041,5.87481,5.87481,13129,5.45886
correct,88200,1,0.95,0,1140,1030,735,29.0926,0.00370214,0.107705,6.88211,4.66444,4.66444,13129,7.21588
correct,88200,2,0.5,0,1120,850,410,62.7516,0.00170678,0.107104,8.07241,6.95565,6.95565,11804.2,1.55165
correct,88200,2,0.877465,0,1120,850,410,38.9391,0.00275054,0.107104,7.30299,4.95873,4.95873,11804.2,4.81407
correct,88200,2,0.95,0,1120,850,410,33.7711,0.00317146,0.107104,5.90786,3.98737,3.98737,11804.2,5.89635
correct,96000,0,0.5,0,1180,1070,462.5,54.7542,0.00136135,0.0922028,2.05866,2.07371,2.07371,9842.35,0.825847
correct,96000,0,0.877465,0,1180,1070,977.5,28.2707,0.00263664,0.0922028,7.97622,6.5571,6.5571,10104.6,4.93925
correct,96000,0,0.95,0,1180,1070,1090,20.6564,0.00360855,0.0922028,8.16509,5.58288,5.58288,10137.6,7.3166
correct,96000,1,0.5,0,1120,1000,455,54.0756,0.00143005,0.0922028,4.27891,4.22431,4.22431,10400.5,0.82902
correct,96000,1,0.877465,0,1120,1000,697.5,29.5458,0.00261733,0.0922028,8.33528,5.78329,5.78329,10400.5,4.78488
